isbn;ean;title;publisher;date;seriesTitle;seriesNumber;authorSurname;AuthorName;type;totalCopies;numberCopiesAimeCesaire;numberCopiesEdmondRostand;numberCopiesJeanPierreMelville;numberCopiesOscarWilde;numberCopiesSaintSimon
978-2-07-063829-1;9782070638291;Paris la nuit | Texte imprimé | conçu et réalisé par Claude Delafosse et Gallimard jeunesse | illustré par Gismonde Curiace;Gallimard jeunesse;DL 2011;;;Delafosse;Claude;Livre jeunesse;25;1;1;1;;
978-2-253-13409-1;9782253134091;Le vampire de la rue des Pistoles | Texte imprimé | Jean Contrucci;Librairie générale française;impr. 2010;Les nouveaux mystères de Marseille;;Contrucci;Jean;Livre pour adulte;1;;;;;
978-2-266-21093-5;9782266210935;Chambre froide | Minette Walters | traduit de l'anglais par Philippe Bonnet;Pocket;2010;;;Walters;Minette;Livre pour adulte;5;;;;;
9787539823935;;Mei hou wang chu shi | Texte imprimé | Wu Chengen | Chen Weidong, bian chuang |  Peng Chao, man hua;Anhui mei shu chu ban she, impr.;2010;Xi you ji = ???;1;Wu;Cheng'en;Livre jeunesse;1;;;1;;
"978-2-7071-5146-9;2-7071-5146-7";9782707151469;En direct du couloir de la mort | Mumia Abu-Jamal | préface Jacques Derrida | traduit de l'anglais par (Etats-Unis) Jim Cohen | préface John Edgar Wideman | postface Leonard I. Weinglass;La Découverte;2006;;;Abu-Jamal;Mumia;Livre pour adulte;1;;;;;
978-2-84734-794-4;9782847347944;La bataille de Dunkerque | Texte imprimé | 26 mai-4 juin 1940 | comment l'armée française a sauvé l'Angleterre | Dominique Lormier;Tallandier;DL 2011;;;Lormier;Dominique;Livre pour adulte;2;;;;;
978-2-35419-047-7;9782354190477;Ismahane | Première partie | Texte imprimé | Sasha, Christophe Girard;les Enfants rouges;impr. 2011;Ismahane;1;Sasha;;Bande dessinée pour adulte;11;;;;;
978-2-88474-244-3;9782884742443;Hannibal et les Alpes | Texte imprimé | une traversée, un mythe | [exposition, Grenoble, Musée dauphinois, avril 2011-juin 2012] | coordination [du catalogue], Jean-Pascal Jospin et Laura Dalaine;"Infolio;Musée dauphinois";cop. 2011;;;;;Livre pour adulte;2;;;1;;
978-2-86959-917-8;9782869599178;Le peuple aux dents laquées | Texte imprimé | Albert Londres;Arléa;impr. 2010;;;Londres;Albert;Livre pour adulte;2;;;;;
;3346030022788;L'usage du monde | Vol. 2 | Images animées | Stéphane Breton, réal.;"Musée du quai Branly;Editions Montparnasse [éd.]";2011;;;;;DVD-vidéo tous publics;5;;;;;
;5051889032335;Terminator | les chroniques de Sarah Connor | L'intégrale de la saison 2 | Images animées | David Nutter, Jeffrey Hunt, Bill Eagles... [et al.], réal. | Josh Friedman, idée orig., aut. | Natalie Chaidez, John Wirth, Toni Graphia... [et al.], aut. | Lena Headey, Thomas Dekker, Summer Glau... [et al.], act.;Warner home video [éd., distrib.];[DL 2011];Terminator : les chroniques de Sarah Connor;;;;DVD-vidéo tous publics;1;;;;;
978-2-8189-0052-9;9782818900529;7 milliards d'aiguilles | 4 | Texte imprimé | Tadano Nobuaki;Bamboo éd.;DL 2010;7 milliards d'aiguilles;4;Tadano;Nobuaki;Bande dessinée jeunesse >12 ans;1;;;;;
978-2-7573-0366-5;9782757303665;L'épreuve écrite du concours infirmier | Texte imprimé | Victor Sibler;Lamarre;impr. 2010;;;Sibler;Victor;Livre de Fonds spécialisés;1;;;;;
978-2-35648-172-6;9782356481726;Mohand | Texte imprimé | scénario et dialogues, Pierre Boisserie et Frédéric Ploquin | dessin, Luc Brahy | couleur, Bérengère Marquebreucq;12 bis;impr. 2010;Le temps des cités;3;Boisserie;Pierre;Bande dessinée jeunesse >12 ans;1;;;;;
2-7078-0207-7;9782707802071;La Fontaine à la rencontre de Dieu | Léon Petit;Nizet;1970;;;Petit;Léon;Livre pour adulte;1;;;;;
;3512391551988;Les chroniques du dragon | Images animées | Pitof, réal. | Michael Konyves, Angela Mancuso, scénario | Frankie Blue, comp. | Amy Acker, Tom Wisdom, John Rhys-Davies... [et al.], act.;Seven sept [éd, distrib.];[DL 2010];;;;;DVD-vidéo tous publics;1;;;;;
;3770001471426;Coeur animal | Images animées | Séverine Cornamusaz, réal., scénario | Noëlle Revaz, aut. adaptée | Marcel Beaulieu, scénario | Evgueni Galperine, comp. | Olivier Rabourdin, Camille Japy, Antonio Buil... [et al.], act.;Blaq out [éd., distrib.];[DL 2011];;;;;DVD-vidéo tous publics;1;;;;;
978-2-01-171072-7;9782011710727;La géographie économique aux concours | Texte imprimé | François Lafargue,... Vincent Lafargue,...;Hachette éducation;DL 2010;;;Lafargue;François;Livre de Fonds spécialisés;1;;;;;
978-2-9531274-4-7;9782953127447;Entreprendre et réussir | Texte imprimé | créateur, auto-entrepreneur, franchisé | Louis Le Duff et Hervé Novelli;Ed. GLD;impr. 2011;;;Le Duff;Louis;Livre de Fonds spécialisés;2;;;;;
978-2-7590-1302-9;9782759013029;80 tests psychotechniques | Texte imprimé | Julie Giniès;Vocatis-[Studyrama];impr. 2011;;;Giniès;Julie;Livre de Fonds spécialisés;2;;;;;
978-2-918572-45-9;9782918572459;Devenir auto-entrepreneur pour les débutants | Delphine Gouaty;Qidesign;2011;;;Gouaty;Delphine;Livre de Fonds spécialisés;1;;;;;
2-7304-0231-4;;La Vierge du soleil | Texte imprimé | Henry Rider Haggard;Oswald;1983;;;Haggard;Henry Rider;Livre pour adulte;1;;;;;
;0730003902529;Hip hop - Underground soul classics | Enregistrement sonore | Pete Rock;La Baleine;2003;;;Pete Rock;;Disque compact;1;;;;1;
;3458729601201;Le gentilhomme de la steppe | Enregistrement sonore | Ivan Tourguéniev;SEMC Cassiopée;2010;;;Turgenev;Ivan Sergeevi?;Livre sonore pour adulte;1;;;;;
2-86930-074-3;;Levine | Texte imprimé | nouvelles | Donald Westlake;Rivages;1987;;;Westlake;Donald E.;Livre pour adulte;1;;;;;
978-2-8161-0946-7;9782816109467;Grec | Texte imprimé | Thanasis Spilias;Lonely planet;DL 2011;;;Spilias;Thanasis;Livre pour adulte;5;;;;;
978-2-8161-0945-0;9782816109450;Turc | Texte imprimé | Arzu Kürklü;Lonely planet;DL 2011;;;Kürklü;Arzu;Livre pour adulte;4;;;;;
978-2-36371-009-3;9782363710093;L'insaisissable | Texte imprimé | la vie de Dashiell Hammett | Richard Layman | traduit de l'anglais et annoté par Philippe Mikriammos;P.-G. de Roux;impr. 2011;;;Layman;Richard;Livre pour adulte;7;;;;;
978-2-07-012253-0;9782070122530;Le passé défini | journal | VI | 1958-1959 | Texte imprimé | Jean Cocteau,... | texte établi par Pierre Caizergues, Francis Ramirez et Christian Rolot;Gallimard;impr. 2011;Le passé défini;6;Cocteau;Jean;Livre pour adulte;4;;;;;
978-2-268-07147-3;9782268071473;Les romans du Mont-Saint-Michel | Texte imprimé | Patrice de Plunkett;Éd. du Rocher;DL 2011;;;Plunkett;Patrice de;Livre pour adulte;7;;;;;
2-213-59203-9;;Histoire de l'Inde moderne | Texte imprimé | 1480-1950 | sous la dir. de Claude Markovits;Fayard;1994;;;;;Livre pour adulte;16;;;1;;
978-2-0806-8899-6;9782080688996;Journal d'un flic | Texte imprimé | Philippe Pichon;Flammarion;impr. 2007;;;Pichon;Philippe;Livre pour adulte;4;;;;;
978-2-35270-100-2;9782352701002;Algérie | Texte imprimé | l'histoire en héritage | Smaïl Goumeziane;"Edif 2000;Non lieu";DL 2011;;;Goumeziane;Smaïl;Livre pour adulte;18;;;1;1;
978-2-84666-621-3;9782846666213;Un autre amour | Texte imprimé | Kate O'Riordan | traduit de l'anglais (Irlande) par Florence Lévy-Paoloni;À vue d'oeil;impr. 2011;;;O'Riordan;Kate;Livre en gros caractères;7;;;;1;
978-2-87811-365-5;9782878113655;Bijoux à portrait | Texte imprimé | camées, médailles et miniatures des Médicis aux Romanov | Diana Scarisbrick | traduit de l'anglais par Lydie Échasseriaud;Thames & Hudson;DL 2011;;;Scarisbrick;Diana;Livre pour adulte;4;;;;;
978-2-35873-028-0;9782358730280;Une lampe dans la lumière aride | Texte imprimé | carnets, 1949-1955 | André du Bouchet | édition établie et préfacée par Clément Layet;le Bruit du temps;impr. 2011;;;Du Bouchet;André;Livre pour adulte;3;;;;;
;"0095115166024;095115166024";Orchestral works | Vol. 4, | Poème des rivages, Symphonie italienne | Enregistrement sonore | Oeuvres pour orchestre | Vincent d'Indy, comp. | Iceland Symphony orchestra | Rumon Gamba, dir.;Chandos;2011;;;Indy;Vincent d';Disque compact;8;;;;;
978-2-226-18636-2;9782226186362;Les philo-fables | Michel Piquemal | illustrations Philippe Lagautrière;Albin Michel-Jeunesse;2008;;;Piquemal;Michel;Livre jeunesse;2;;;;;
978-2-09-252998-0;9782092529980;L'espace | texte de Marie Kolaczek-Masliah | illustrations de Olivier Latyk et Philippe Mignon;Nathan Jeunesse;2011;;;Kolaczek-Masliah;Marie;Livre jeunesse;5;;1;;;
978-2-84278-825-4;9782842788254;Des lettres et des peintres | Texte imprimé | Manet, Gauguin, Matisse, confidences de quarante artistes | [exposition, Paris, Musée des lettres et manuscrits, 29 avril-28 août 2011] | [catalogue par] Marie-Laure Delaporte, Itzhak Goldberg, Stéphane Guégan... [et al.];"Musée des lettres et manuscrits;""Beaux-arts"" éd.";impr. 2011;;;;;Livre pour adulte;3;;;;;
;3555111001257;Techniques du pickings | Texte imprimé | Alain Thevenot;Play-Music publishing;2001;;;Thevenot;Alain;Méthode musicale;2;;;;;
978-2-226-23067-6;9782226230676;La vérité sur le nucléaire | Texte imprimé | le choix interdit | Corinne Lepage;A. Michel;impr. 2011;;;Lepage;Corinne;Livre pour adulte;14;;;;1;
2-08-012140-5;;Daniel Spoerri | Texte imprimé | Otto Hahn;Flammarion;1990;;;Hahn;Otto;Livre pour adulte;3;;;1;;
2-253-13233-0;;0Romans et nouvelles | III | [1918-1951] | Texte imprimé | Thomas Mann | notices et notes de Claude David et Dominique Iehl | trad. de Louise Servicen, Denise Van Moppès et André Gailliard;Librairie générale française;1996;Romans et nouvelles / Thomas Mann.;3;Mann;Thomas;Livre pour adulte;21;;1;;;1
978-1-8460-5091-6;;Wedding season | Texte imprimé | Katie Fforde;Century;2008;;;Fforde;Katie;Livre en langue étrangère;1;;;;;
0-7515-3489-7;;The burning girl | Texte imprimé | Mark Billingham;Time Warner Books;2005;;;Billingham;Mark;Livre en langue étrangère;1;;;;;
;;Au soleil meme la nuit  | Images animées | Eric Darmon, Catherine Vilpoux, réal | Molière, aut | Ariane Mnouchkine, particip | Troupe du Théâtre du Soleil, act;CNC [éd.];2006;;;Darmon;Eric;DVD-vidéo tous publics;1;;;;;
2-01-009214-7;;Un Monde transparent | Texte imprimé | roman | Morris L. West | traduit de l'anglais par Bernard Mocquot;Hachette;1983;;;West;Morris;Livre pour adulte;1;;;;;
978-2-09-038601-1;9782090386011;Intro A1.1 | guide pédagogique | Sylvie Poisson-Quinton, Évelyne Siréjols;CLE international;2011;;;Poisson-Quinton;Sylvie;Livre de Fonds spécialisés;1;;;;;
978-2-09-038602-8;9782090386028;Amical 1 A1 | Multimédia multisupport | livre de l'élève | Sylvie Poisson-Quinton, Évelyne Siréjols;CLE international;2011;;;Poisson-Quinton;Sylvie;Méthode de langue;6;;;;;
978-2-7256-2965-0;9782725629650;Méthode progressive de lecture-écriture pour adultes et adolescents | Texte imprimé | livret du formateur | Odette Bonnin-Sauvé;Retz;impr. 2010;;;Bonnin-Sauvé;Odette;Méthode de langue;2;;;;;
978-2-203-01694-1;9782203016941;Les âmes sèches | 3 | Texte imprimé | scénario, Antoine Ozanam | dessin, Bandini | couleurs, Studio Blinq;KSTR;impr. 2011;Les âmes sèches;3;Ozanam;Antoine;Bande dessinée pour adulte;2;;;;;
978-2-505-01086-9;9782505010869;Angel voice | 7 | Texte imprimé | Takao Koyano;Kana;DL 2011;Angel voice;7;Koyano;Takao;Bande dessinée jeunesse;1;;;;;
;;L'heure exquise : mélodies | Enregistrement sonore | R. Yakar;Distrib. EMI;1990;;;Hahn;Reynaldo;Disque compact;2;;;;;
;3411369971127;Woody Allen et la musique | Enregistrement sonore | de Manhattan à Midnight in Paris | Joséphine Baker, chant | Sidney Bechet, saxo | avec C. Luter & son orchestre, groupe instr... [et al.];"Universal music;[distrib. Universal licensing music]";P 2011;;;;;Disque compact;16;;;;;
978-2-215-06698-9;9782215066989;Les animaux préhistoriques | Texte imprimé | conception, Émilie Beaumont | texte, Agnès Vandewiele | images, MIA, Betti Ferrero;Fleurus;[2011];;;Beaumont;Émilie;Livre jeunesse;1;;;;;
978-2-215-10642-5;9782215106425;Histoire de France | Texte imprimé | conception, Jack Beaumont | texte, Sylvie Deraime | dessins, MIA [par] A. Baldanzi;Fleurus;impr. 2011;;;Beaumont;Jack;Livre jeunesse;3;;;;;
978-2-35708-039-3;9782357080393;La flûte | Yang Liu;Kantik;2011;Le monde de Ma Liang;2;Liu;Yang;Bande dessinée jeunesse;20;;;;;
;;Ghost dog : B.O. (1999) | Enregistrement sonore | the way of the samurai;Victor;1999;;;RZA (The);;Disque compact;6;;1;;;
978-2-211-20439-2;9782211204392;Eugénia et la bouche de la vérité | Texte imprimé | Emmanuelle Caron;l'École des loisirs;DL 2011;;;Caron;Emmanuelle;Livre jeunesse;3;;;;;
;384446009238;Cube  | Images animées | Vincenzo Natali, réal., scénario | André Bijelic, Graeme Manson, scénario | Mark Korven, mus | Nicole DeBoer, Nicky Guadagni, David Hewlett...[et al.], act;Metropolitan Filmexport [éd.];2000;;;Natali;Vincenzo;DVD- vidéo > 12 ans;7;;;;;
3282114347029;;Cap Corse | Institut Géographique National;IGN;2004;;;;;Carte ou plan;1;;;;;
978-2-7541-0561-3;9782754105613;Bonnard et Le Cannet | Texte imprimé | dans la lumière de la Méditerranée | [exposition, Le Cannet], Musée Bonnard, [26 juin au 25 septembre 2011] | [organisée par la Ville du Cannet et le Musée Bonnard] | [catalogue] sous la direction de Véronique Serrano | avec les contributions de Marina Ferretti Bocquillon, Belinda Thomson, Jean Clair... [et al.];Hazan;2011;;;;;Livre pour adulte;5;;;;;
;;Stéphane Hessel | Images animées | une histoire d'engagement | Christine Seghezzi, réal. | Stéphane Hessel, particip. | Stéphane Valensi, voix;CNC [éd.];2011;;;;;DVD-vidéo tous publics;3;;;1;;
978-0-500-28794-1;;Our world now | 2 | Texte imprimé | [2008] | with 373 illustrations, 364 in colour | Reuters;Thames and Hudson;2009;;;;;Livre pour adulte;1;;1;;;
;;Waiting for the death of my generation | Enregistrement sonore | The Streetwalkin'Cheetahs;;2001;;;;;Disque compact;1;;;;;
978-2-7585-0995-0;9782758509950;Île de Noirmoutier - Beauvoir-sur-Mer - Bourneuf-sur-Retz | Document cartographique | marais breton | Institut géographique national | [avec la collaboration de la Fédération française de la randonnée pédestre];IGN;2008;Top 25 : une carte, un site;1125 OT;;;Carte ou plan;1;;;;;
978-2-01-225965-2;9782012259652;Zékéyé et Djoudjoukalaba | Texte imprimé | Nathalie Dieterlé;Hachette jeunesse;DL 2008;Zékéyé;;Dieterlé;Nathalie;Livre jeunesse;1;;;;;
978-2-10-053444-9;9782100534449;Cessons de démotiver les élèves | Texte imprimé | 18 clés pour favoriser l'apprentissage | Daniel Favre;Dunod;DL 2010;;;Favre;Daniel;Livre pour adulte;1;;;;;
978-2-35178-511-9;9782351785119;À propos de courage | Texte imprimé | Tim O'Brien | traduit de l'américain par Jean-Yves Prate;Gallmeister;impr. 2011;;;O'Brien;Tim;Livre pour adulte;1;;;;;
"2-914518-03-X;2-908476-25-8";;"Le camp de Rivesaltes 1941-1942 | Texte imprimé | du centre d'hébergement au ""Drancy de la zone libre"" | Anne Boitel | [préf. Michel Cadé, postface Serge Klarsfeld]";"Presses universitaires de Perpignan ;Mare nostrum";2001;;;Boitel;Anne;Livre pour adulte;1;;;;;
978-2-7585-1058-1;9782758510581;Épinal | Document cartographique | Institut géographique national | avec le concours du Club Vosgien | [et de la Fédération française de la randonnée pédestre];IGN;2008;Top 25 : une carte, un site;3518 OT;;;Carte ou plan;1;;;;;
